lat,lng,value
39.9667793663,116.344151496,69
40.0143641283,116.528688871,8
39.7339917836,116.191755841,3
39.8363233572,116.424249883,14
40.2836688609,116.690306886,1
39.8182966664,116.332388715,11
39.8644640134,116.537695902,1
40.362730165,115.983280793,1
39.9386153405,116.687978443,7
39.8433559353,116.175733033,1
39.8561628502,116.576935893,1
39.8814186093,116.527994098,1
40.3759171549,116.842597114,1
40.1757412639,116.354526118,1
40.0272285284,116.32373946,3
39.7645559353,116.42006212,1
40.206825918,116.55283643,1
40.3169441058,116.63371697,6
39.8574075009,116.434964585,64
39.9069893163,116.376721367,128
40.0656576074,116.346523894,46
39.9060038455,116.225445234,108
39.8777754194,116.649092813,6
39.9564436411,116.335472847,47
39.971996935,116.249479487,9
39.9317961342,116.598719348,6
39.9398598068,116.652767313,4
39.8578658149,116.47825083,22
39.915928225,116.597948142,8
39.7195537127,116.708208718,1
40.0388843679,116.222004225,2
40.1206221088,116.411964808,5
39.9727629783,116.224297016,4
40.1358443485,116.498720881,1
39.6358089193,116.320138889,1
39.7152737088,116.423623589,1
39.9275278559,116.61788262,12
39.9232073169,116.323883327,29
39.8116042176,116.547790299,4
39.9234056803,116.335853193,23
39.9222383262,116.55522515,37
39.7923142584,116.398458738,98
39.945274045,116.36840558,64
39.9378022838,116.334503847,27
39.9161501968,116.577795775,12
40.0400480585,116.19269849,7
39.9048101159,116.246730385,33
39.8887807635,116.104579938,5
39.8174851189,116.545345752,4
39.8137466362,116.300896615,9
39.730884628,116.153489636,1
40.0855401429,116.522627098,5
39.6946723878,116.329900354,1
39.7714211697,116.522766113,2
39.8072033892,116.412617106,9
39.837104182,116.621145166,1
40.0084435986,116.256899583,1
39.9722273157,116.583601336,2
40.1007613381,116.431130342,3
40.1309231228,116.260378418,1
39.6323073251,116.323772227,1
39.892265625,116.178266602,1
40.091092233,116.674923019,2
40.0362455024,116.493827938,2
39.9995005891,116.337735079,46
39.9056037741,116.641362149,115
39.8470605489,116.562349311,33
40.0722794649,116.347868261,15
39.8116273878,116.50297267,21
39.923290002,116.486426175,46
40.0322596812,116.376174012,12
39.8672192006,116.443685464,44
39.9232872172,116.345283382,58
39.8617706092,116.345481531,4
40.109382198,116.368244491,16
39.7307058279,116.137537106,13
40.0832895576,116.506481126,6
39.8457057878,116.467586261,18
40.0666291646,116.305603346,9
40.0216535496,116.553414624,2
40.0921399828,116.479732048,3
40.0822743318,116.663737096,3
40.3230500263,116.6444775,4
40.1699127139,116.501643456,1
39.8326348887,116.190412573,1
40.0379993038,116.303964833,5
40.0225782785,116.493688498,1
39.8951421976,116.585683474,5
39.9682062463,116.733749348,1
39.9941734434,116.410991323,95
39.8909608612,116.634417778,13
39.8998670612,116.50004073,102
39.9130737949,116.644470989,20
39.8461660241,116.399939218,24
39.8625493124,116.477715827,68
39.9329344823,116.477945885,95
39.904948309,116.544605027,17
39.9550686199,116.491138278,33
39.8787020076,116.664534774,33
40.2027537017,116.657347609,2
39.8953141327,116.376564383,92
39.8944255308,116.280310415,19
39.8677044658,116.414253055,15
39.9630074052,116.10545422,3
40.0042364275,116.424270377,20
40.1208806479,116.327062716,1
40.1255772674,116.215206885,5
39.9325293307,116.540444494,4
39.8254142774,116.474546973,6
40.0045429514,116.532710967,6
40.4089698121,116.685223835,1
39.6770649825,116.322539103,4
40.032277041,116.297757383,9
40.2249990322,116.377292518,1
40.059226569,116.168954559,3
39.9473976509,116.084270018,1
39.8029035884,116.584735905,1
39.9466086174,116.610153086,1
39.754206543,116.144636502,1
39.8668093483,116.848185177,1
39.9753270494,116.538407941,1
39.8789933868,116.618073932,3
39.9354543728,116.708703342,1
40.0504100954,116.474501058,1
39.9550975616,116.255942151,1
39.9400078495,116.413146873,93
39.9057978525,116.556057497,39
40.0284747985,116.334278068,33
39.9725659867,116.555497335,5
40.0495454006,116.325411079,25
39.9107829088,116.5639409,17
39.955159957,116.31187229,54
39.7419544292,116.334329803,20
39.8989489448,116.550586313,33
39.9724584064,116.543250145,4
39.878171753,116.643845206,7
39.9169115528,116.191741316,20
39.8860432943,116.202959798,1
40.0387443281,116.322569465,29
39.7860921357,116.498178074,15
39.8400312892,116.46802493,17
39.9055055552,116.325769439,40
40.0241337077,116.337144887,1
39.8313503986,116.202045682,1
40.1385796241,116.263179101,2
40.0500034134,116.312525472,12
40.0106866969,116.564341216,12
39.9065803343,116.390106871,22
39.8679046072,116.255703055,12
40.1482898277,116.298664995,3
39.8302461534,116.367828031,3
39.9032501923,116.741162106,2
39.8460336156,116.321693866,20
39.8153278446,116.491359519,1
40.0919921936,116.338881811,5
39.8693112021,116.543242628,4
39.7245131065,116.572163316,1
39.8473339601,116.503394503,1
40.3824050117,116.846517465,1
40.6451442452,117.264598662,1
39.7368122527,116.424204089,1
39.8460272603,116.593554089,1
40.223375422,116.182231096,1
39.6268132414,116.322695583,1
40.0319344623,116.270611513,23
39.9939524044,116.432518418,48
39.7645729762,116.320251322,5
39.8956107284,116.458199498,328
39.956943396,116.346379714,53
39.9550970324,116.408534145,31
39.9115528592,116.268076725,30
39.9115081299,116.432785661,48
40.0801783206,116.569941848,1
39.9339100579,116.369568963,67
39.9225863933,116.256198719,34
39.9010955666,116.255875837,20
40.3360286116,116.64313426,3
39.7241662424,116.140191744,8
40.1055000931,116.692961624,4
40.0768544961,116.358474791,37
39.909937081,116.239481874,4
39.9373944383,116.190567276,2
40.0006309872,116.624319542,1
39.9989176432,116.530526801,1
39.7679728857,116.335853849,11
39.9053333967,116.396621582,31
40.1212070494,116.641386882,4
39.978267086,116.280908674,2
39.8368901946,116.646302041,1
40.194926603,116.547659787,1
39.9461192491,116.542126465,1
39.8107683968,116.263491966,1
40.0672867191,116.537001576,1
39.9711874032,116.435224279,123
39.8362015356,116.473468493,18
39.8283435271,116.55471935,9
40.059673092,116.414221503,114
39.9939274522,116.356788131,31
39.9443461552,116.310585037,76
39.786385927,116.342046686,12
39.8839784579,116.315174556,44
39.7693546563,116.586520995,22
39.7418540066,116.54231911,14
39.7239721678,116.169194486,7
40.1118116361,116.607936403,2
40.1197729985,116.267504027,9
40.0650128627,116.44126501,6
39.7134807665,116.062585917,3
40.0319511622,116.232189908,2
39.8098839457,116.096113825,1
39.7673683414,116.207459703,3
40.1087450392,116.39365521,3
39.882869335,116.542533417,7
40.1800094153,116.400549261,5
40.0822577091,116.280497776,2
40.0661489745,116.236497951,1
39.6933241291,116.261899649,1
39.8632508333,116.661562491,4
39.7388388151,116.149442235,1
39.7490514819,116.382381831,1
39.9694882487,116.520225584,2
40.0692239504,116.561264064,3
40.0680070965,116.167809448,1
39.9987272402,116.213789921,1
40.1233378142,116.200531925,1
39.8343822786,116.291503231,47
39.9340262779,116.434374639,156
39.8894272813,116.281742919,23
39.9839597169,116.477588454,43
39.878749697,116.302563342,19
39.8730282879,116.322257338,21
39.9406292143,116.235775354,5
40.0945980945,116.488853952,3
40.2089606382,116.246727788,4
40.0440929478,116.354308745,16
39.943842542,116.503209736,12
39.9541481704,116.187664006,4
40.1795939117,116.391579341,3
39.8512335013,116.530844965,5
40.0768919507,116.159111786,1
40.1014355115,116.516810099,2
40.0176370574,116.546743211,2
39.8129822841,116.466708312,2
40.1724150013,116.389284351,1
40.2306134803,116.261444935,1
39.9337840712,116.279826281,63
39.9881498974,116.343793519,51
40.0378058912,116.422904552,73
39.9781809938,116.421472101,67
39.9000674759,116.366638158,43
40.0179839104,116.624630108,1
39.9513801122,116.367606894,75
39.8897897757,116.479332539,130
39.9393542962,116.31287663,42
39.9290670166,116.466585335,129
40.0976048389,116.535538439,4
39.9737067549,116.596259361,35
40.0438508361,116.591232101,9
40.114556599,116.367149195,14
39.9161317506,116.301682701,37
39.7928898954,116.35983466,8
39.7580184275,116.312998299,17
40.2362799723,116.132518012,1
39.8094199078,116.473338837,2
40.0166153512,116.270504207,24
39.9063394726,116.489960387,11
39.7650076074,116.381321745,5
39.9235683128,116.172594722,26
40.1206910536,116.300334473,2
40.1007613243,116.519989258,2
39.7426016364,116.187120368,1
40.1521122541,116.280005458,6
39.9522225152,116.738573038,1
39.6558754982,116.574710984,1
39.7898445623,116.378376203,5
40.0782440074,116.274430353,1
39.7626007303,116.353172838,2
40.2358142735,116.398922553,1
40.0860655856,116.401140608,2
40.0388469517,116.248438433,2
39.8202329942,116.558276991,1
39.9053811754,116.62254315,10
39.9229500037,116.355564976,54
39.8149390903,116.33255668,3
39.8954129149,116.507790229,49
39.9175480016,116.454851509,403
39.9282541144,116.512146797,93
39.8587037896,116.466422429,10
39.9176016498,116.687008583,24
40.0091215441,116.553779582,19
39.7908388024,116.491510326,15
39.8108368927,116.213348822,6
39.895040544,116.268566338,25
39.8901544128,116.643282965,42
39.9291477222,116.578005552,16
40.0862642461,116.413822951,19
39.9322258736,116.693712498,4
39.9391931498,116.530851112,7
39.9176906214,116.246906337,11
40.0399637356,116.574354769,2
40.1018640001,116.379761624,5
40.0807118056,116.757183974,1
39.9566991204,116.582757117,8
40.1213328982,116.337582612,2
39.7566583122,116.164650234,1
39.9720898085,116.631588439,2
39.9232091656,116.542713916,6
39.8400027337,116.508940274,2
39.9524351308,116.134649898,1
40.1203497316,116.232857001,1
39.7741307803,116.173891002,1
40.0278174903,116.230332629,1
40.1575616793,116.549694907,2
39.8492217934,116.232710721,2
39.7710610587,116.277323818,1
39.9893358132,116.509625175,5
39.8350400219,116.239726366,17
39.8681375158,116.466302689,66
40.0069152039,116.671530003,2
39.8568729871,116.389946188,39
39.922761873,116.566014276,31
39.8902842692,116.434059057,51
39.8520310081,116.265754461,7
39.974757487,116.688099501,1
39.9560790203,116.303832084,25
40.1003236203,116.369737362,12
39.8153462443,116.282842087,3
40.0491998622,116.302912454,7
39.8640883944,116.309684089,15
39.8361523327,116.468498996,5
39.9381475753,116.110560659,1
39.7627914227,116.489599219,11
40.0448680679,116.184346727,7
40.1182309097,116.588093313,1
39.8969644023,116.142399228,1
40.1390473053,116.303489515,2
39.8895218629,116.204968032,1
39.7205437946,116.159022082,1
40.0789336042,116.662501203,1
39.8462454561,116.368271096,69
40.0817697533,116.366758348,28
39.9504747979,116.553397009,52
39.8458874933,116.425922497,55
39.8848007185,116.432963963,42
39.961753964,116.534973464,27
39.9112169404,116.221188747,5
39.9725636076,116.312870139,17
39.9109549333,116.664787539,3
40.0328441196,116.292647124,30
39.9837614764,116.399081151,14
39.7622853604,116.168240269,5
40.0802782225,116.54127142,6
39.9063520665,116.266893503,43
40.0328783372,116.519383609,7
39.8077455984,116.545608975,9
40.001992892,116.268491558,6
39.8812957997,116.609645179,1
39.7583043077,116.584770508,1
39.7895683799,116.564653182,8
40.1101314245,116.632615593,5
39.9460492337,116.135985812,3
40.3074505302,116.631997183,3
39.8720199129,116.270099989,3
39.8429802702,116.736408089,1
39.7513744871,116.267337849,1
40.0536779948,116.425140665,10
39.9116426276,116.421675785,92
39.9779602256,116.507343908,25
39.9551547814,116.233682001,23
39.890984213,116.409229661,34
39.9075840919,116.301538738,84
39.9712046813,116.489362561,157
39.9446736303,116.412031506,72
40.1314281822,116.661450649,10
40.0759773394,116.23726815,4
39.8350423301,116.300988802,48
39.7250820884,116.334901136,15
39.9335155395,116.347360002,44
40.3729289394,116.898222724,1
39.6895923271,116.061877917,2
39.9996984907,116.508103025,14
39.9946547164,116.448713566,11
39.7412499335,116.181766254,2
40.1002114925,116.4926773,1
39.9276127858,116.201897804,11
39.9341244098,116.662899218,5
39.8117298442,116.476134764,4
40.0428933405,116.234240806,3
40.0824510131,116.504692624,1
40.1395072704,116.417708345,1
39.7468299472,116.323324252,4
39.8072902219,116.184993989,1
40.2263307431,116.261567857,1
40.2087774951,116.236159642,24
39.9339756733,116.324816537,59
39.9669546982,116.46440315,16
39.9722118543,116.278723019,7
39.9233560491,116.511821698,75
39.9980671582,116.487440981,56
39.9892041781,116.367105385,57
39.9822937313,116.378823599,50
39.6031003147,115.961408149,1
40.0233096377,116.290683997,32
39.840487445,116.288826618,27
40.1096959088,116.548060492,6
39.8402661464,116.309634707,5
39.9232701913,116.654097077,15
39.8958847517,116.294261392,6
39.7908344482,116.15613255,4
39.8078844212,116.529552683,5
39.6527609616,116.069766448,4
40.1478603555,117.095627369,2
40.0207064426,116.455376163,14
39.7931440107,116.407148598,2
39.7528506383,116.288106867,2
39.750004032,116.536542053,2
39.8293065754,116.781139746,1
39.7555182603,116.510405217,1
40.213794104,116.210208248,2
40.0431272732,116.642276725,7
39.9067140727,116.457080851,285
40.054673042,116.311673529,29
39.9115388503,116.498254255,103
39.7573203924,116.545145089,16
40.0440373066,116.432300756,28
39.9940079346,116.293373987,27
39.9724730928,116.506447176,12
40.0598256144,116.565499743,17
39.9005245241,116.237593632,35
39.9599049746,116.50654846,14
39.779366294,116.557514234,4
40.1692936875,116.607252609,1
40.0374053094,116.357018532,23
40.0154045758,116.466753559,23
40.147442014,116.323000838,1
39.8059668713,116.287745611,1
40.1719286716,116.312318247,1
40.1493647188,116.137823733,3
39.8632684644,116.645219439,1
39.8258496737,116.666650786,1
39.9658975823,116.549047212,1
39.894640592,116.322827651,191
39.8912519024,116.323082535,161
39.938050135,116.289753083,43
39.9995133867,116.458067677,43
39.922693777,116.435338215,170
39.9947932335,116.485357155,58
39.8842242987,116.444762618,28
39.9375870862,116.770603546,1
39.8071842521,116.400427995,16
39.9719778156,116.367128457,37
40.0810960453,116.436646906,9
39.9004014532,116.663336345,25
39.687147444,116.32205238,26
39.8117977076,116.508965822,12
39.9173712974,116.621011313,4
39.7609953101,116.57990073,5
40.1749629999,116.380812844,3
39.6311550604,116.305946721,2
39.8063648155,116.150337098,3
39.9210565948,116.677738806,7
40.07882277,116.261172015,1
40.0588657156,116.490572383,1
40.4487068395,116.700878313,2
40.0253526552,116.518971857,4
39.9986478421,116.245243042,3
39.998149556,116.64946872,1
39.6904222317,116.315352904,1
40.1232619249,116.759606022,1
40.1546771325,116.549285765,1
40.0825949436,116.122963867,1
40.0783023089,116.590804482,72
39.8727157822,116.280254056,25
39.7583124841,116.356681693,4
39.8626244282,116.411617498,73
39.8788366756,116.455700878,96
39.9213501874,116.246285003,23
39.8786686071,116.466099836,65
40.0003360257,116.378831794,78
39.9226860434,116.586353468,50
39.900753311,116.377468173,68
39.8238576421,116.411147133,2
40.1439526418,116.280784891,11
39.9010475064,116.598354014,19
40.0058674741,116.377298973,19
39.9169098056,116.210262625,8
39.8844473024,116.65048429,15
40.0032771305,116.277536334,12
40.0493812248,116.248510849,8
39.7023489346,116.290139929,3
39.8960243377,116.311594071,26
39.8300965396,116.414708938,3
40.0113405341,116.485123827,10
39.8254176668,116.395222401,1
39.9223929827,116.661239179,8
39.7405105756,116.553691571,15
39.8028301669,116.577316087,5
39.8897648601,116.572122137,1
40.0904976948,116.353517372,1
39.9332445541,116.33370208,55
40.0374713468,116.503894018,4
40.124417525,116.258629145,3
39.9062416661,116.256260532,61
39.9617509264,116.370732919,21
39.9989045287,116.466628092,127
39.9175632047,116.257725833,31
39.9167174869,116.564257531,22
40.1139375638,116.563986518,11
39.8687170781,116.280183317,16
40.0981406684,116.500418233,3
39.7960325567,116.343014757,10
39.7928070894,116.37069728,5
39.8280060645,116.509265792,8
40.053243688,116.596368926,6
40.1110547499,116.415747799,3
39.8898296114,116.388604548,33
40.0877492216,116.36818263,16
40.1686416269,116.323547065,1
40.3921362253,116.862535906,1
39.915914045,116.119069246,2
39.9030094158,116.57750385,2
39.7506981886,116.56069198,3
39.9567218501,116.526677775,1
39.8273033472,116.456584725,5
39.9713019014,116.240614365,1
39.9617379582,116.212272619,3
39.7622007378,116.188478265,2
40.1280631353,116.609442508,1
40.3862421646,116.861272291,1
40.1610345767,116.39216767,2
39.7847841862,116.685085325,1
39.7250292969,116.302812229,1
39.741189531,116.150986857,1
39.8669848795,116.378959686,230
39.9055469577,116.432466269,200
39.9163613565,116.605441386,43
39.9939980417,116.345158005,33
39.9123291547,116.356394852,93
39.8998801631,116.543298068,26
39.8232737357,116.312025019,12
39.9319405431,116.578156431,3
39.9290415355,116.24825922,26
39.8948791264,116.634012452,21
40.0872701267,116.540287471,19
40.0857925022,116.235684506,10
40.0375143489,116.213857129,14
40.0588545133,116.323970123,13
40.0448681101,116.608148494,25
39.8349270363,116.178656958,5
39.7212198893,116.700813802,1
40.1697385771,116.263883527,2
40.1151080434,116.278640739,5
39.6692637804,116.420456,1
39.872153068,116.432978753,9
40.1410533312,116.204394803,1
40.0320500302,116.479389879,7
39.9579025945,116.122673858,4
40.062694833,116.271802652,1
40.2326827327,116.702323538,1
39.8131110448,116.402063499,7
39.9063289757,116.424860909,90
39.7642779355,116.145226331,1
39.9827583921,116.444141159,32
39.8168430686,116.44366127,8
39.8068949333,116.4993517,56
39.8462754433,116.433089684,44
40.0218541088,116.314672017,21
39.8726894033,116.293229686,37
39.7909254806,116.510929226,27
39.8026406374,116.454293816,21
39.9519802464,116.280946063,34
39.9236662864,116.193732209,23
40.0829366369,116.441602572,5
39.8513575949,116.281991297,19
39.7179384205,115.986112989,2
39.8344995168,116.245264107,6
39.8061675813,116.457162056,30
40.1152540563,116.673717056,8
40.1047066411,116.400944593,4
40.1649910518,116.280241295,7
40.0798293728,116.184102919,1
40.0000185362,116.610746541,4
40.0428652153,116.278141542,12
40.1479763131,116.940700095,2
39.7535705592,116.554557707,4
39.9124215273,116.630495725,4
40.1514316639,117.101385036,1
40.4664056686,115.973146423,3
39.8302345482,116.209306965,1
39.7118999566,116.009940592,1
39.6778186855,116.509567714,1
40.0907969508,116.181694648,1
40.1381498845,116.264092036,1
40.0813243316,116.301768619,18
39.8745811887,116.443478921,44
40.1577570015,116.432443821,2
40.0270650973,116.435680786,40
40.0759749901,116.366995351,24
39.9882837042,116.304150511,35
40.014779331,116.355178911,25
39.9441120103,116.511809607,28
40.0307151228,116.626947317,6
39.8464929684,116.313649102,41
39.9981209026,116.192008264,2
39.846123661,116.445086807,33
39.8664941889,116.401147415,12
39.8085064465,116.195334631,3
40.0486138793,116.440735322,14
39.8166655383,116.579620636,4
39.8564191848,116.266131523,8
39.857977315,116.849626471,1
40.0658332988,116.546563754,22
39.8407152339,116.454086727,7
40.1543462059,116.421911334,3
40.1765482987,116.38997605,5
40.0860227404,116.664367986,2
39.7770004035,116.38118106,2
39.8417941623,116.526451823,1
40.0930176381,116.538651691,5
40.1472299815,116.25785343,2
39.9722076581,116.446078884,137
39.91087542,116.477985145,335
39.8516575288,116.434804283,70
39.8860161594,116.257741354,19
39.8902552361,116.344856739,66
39.9176203668,116.202383138,29
39.874951888,116.374270742,10
39.8674365174,116.501905822,39
39.8700890874,116.322979552,5
39.9384717151,116.346657835,60
39.9068836573,116.358462559,67
40.0606283695,116.368349763,11
39.7856899642,116.485950768,13
40.0270483308,116.26885783,12
39.9447139016,116.721095397,5
40.0873188652,116.390658599,6
39.9556835921,116.097007048,3
39.8630192848,116.542776178,7
39.9669014314,116.71899654,1
40.1512953016,116.308746202,1
39.8713929907,116.522833082,2
40.1167046441,116.384037543,1
40.0238545119,116.414146866,6
39.9572722519,116.507065783,3
39.7312721545,116.425869073,1
39.7334234372,116.817857484,1
40.2081746475,116.213676902,2
40.2466830494,116.361739506,1
39.7570232118,116.634281245,1
39.86076234,116.172183175,2
40.034645942,116.461238064,1
39.9314906396,116.643372374,2
39.907534664,116.293050042,33
39.9114848488,116.509274139,50
39.9449445269,116.44545215,92
40.0057089293,116.457763145,21
39.9012294251,116.312056634,40
39.9726306772,116.423604586,55
39.9618581634,116.322422787,25
40.0000848951,116.411841375,90
39.8799330534,116.389475326,39
40.0059542366,116.521138286,6
39.9166359304,116.542249318,31
40.0271553039,116.413191361,49
40.1092739591,116.661580317,7
39.9344051329,116.114001802,16
39.8042643379,116.542678148,1
40.1045710929,116.390511517,10
39.7633332985,116.303517357,9
40.0870186698,116.72160953,2
39.7495898353,116.141861269,2
39.9520812617,116.235162235,6
39.7337178238,115.954004561,1
40.0386594591,116.206244631,3
40.0206900958,116.354350911,3
39.8035692317,116.287960463,2
40.1084934321,116.332590488,3
40.0059635535,116.268846064,5
40.1683937555,116.154197591,1
40.18013588,116.41791889,3
39.8038958462,116.44889281,1
40.1403268631,116.795142999,1
40.3757286241,116.546553277,1
39.7471011717,116.562516496,2
39.9563813779,116.464480333,82
39.9658058571,116.542364845,27
39.9838886528,116.412782071,61
39.8907251064,116.607357896,8
39.7857646753,116.421970765,21
39.9315034284,116.606519969,8
39.9793173224,116.25315613,3
39.995143303,116.23779048,2
39.9955613588,116.195198297,1
39.7453169919,116.277950899,2
39.8921501207,116.120713725,1
40.1303827786,116.584617889,1
39.9824151006,116.233228795,1
40.1944179805,116.231246781,1
39.6810859101,116.343954376,1
39.8307379626,116.175357917,1
39.8923758898,116.527205446,1
40.1539347331,116.236494683,1
39.7961347857,116.367404412,12
40.2039541005,116.665326409,4
39.8628311553,116.501541582,28
39.9399601854,116.399469926,100
39.9347356155,116.424758323,52
