wx43m7y3,wx43m7wn:1:39.615977:115.90914	wx43m735:1:39.614147:115.902083	wx43m7uv:1:39.617242:115.907458	wx43m7my:1:39.614699:115.908836	wx43m7w1:1:39.615166:115.908961	wx43m70u:1:39.612963:115.902	wx43m7y4:1:39.616726:115.909087,39.616522,115.909315,wx43m7wn:1:39.615977:115.90914
wx43xzuk,wx43xzbv:1:39.683456:116.011979	wx43xzt0:1:39.681195:116.017929	wx43xzxy:1:39.682168:116.02147	wx43xzbs:1:39.683202:116.011759,39.683182,116.016695,wx43z8q5:1:39.685828:116.008033
wx43ygqh,wx43ygmw:2:39.702717:115.974527	wx43ygez:2:39.7042:115.972021	wx43ygrp:3:39.702883:115.976479	wx43ygt8:4:39.703045:115.974412	wx43ygmx:20:39.702896:115.974551	wx43ygfs:3:39.705131:115.970285	wx43yg9y:2:39.704032:115.969252	wx43ygx0:2:39.702975:115.976418	wx43ygrn:2:39.702726:115.976447	wx43ygmz:5:39.702901:115.974631,39.702424,115.974962,wx43ygmx:20:39.702896:115.974551
wx43ygsr,wx43ygmw:2:39.702717:115.974527	wx43ygez:2:39.7042:115.972021	wx43ygrp:3:39.702883:115.976479	wx43ygt8:4:39.703045:115.974412	wx43ygmx:20:39.702896:115.974551	wx43ygfs:3:39.705131:115.970285	wx43yg9y:2:39.704032:115.969252	wx43ygx0:2:39.702975:115.976418	wx43ygrn:2:39.702726:115.976447	wx43ygmz:5:39.702901:115.974631,39.704283,115.972651,wx43ygt5:1:39.70353:115.973739
wx43yrw9,wx43yrnr:2:39.723403:115.953461	wx43yrvt:4:39.727156:115.952456	wx43yry7:4:39.726889:115.953462	wx43yryk:12:39.727018:115.953387	wx43yrpw:2:39.723199:115.955092	wx43yrtp:2:39.7261:115.95184	wx43yrvs:4:39.727045:115.952428	wx43yryx:3:39.72755:115.953793	wx43yrym:10:39.727185:115.95338	wx43yrn8:4:39.722195:115.953709	wx43yrn2:5:39.722226:115.953473	wx43yrr8:2:39.723591:115.955101	wx43yrq2:3:39.723548:115.953382	wx43yrw3:2:39.725218:115.953472	wx43yrsr:2:39.726113:115.950841,39.725162,115.953821,wx43yrw9:1:39.725218:115.953772
wx43z4n9,wx43z4hw:3:39.695872:115.984231	wx43z4ph:12:39.695515:115.987507	wx43z4ug:2:39.699518:115.984452	wx43z4su:3:39.698313:115.984407	wx43z4zt:2:39.699811:115.988216	wx43z4ub:2:39.698993:115.984427	wx43z4ec:2:39.697766:115.98304	wx43z4z7:4:39.699437:115.987985	wx43z4n3:3:39.695029:115.986518	wx43z4hv:3:39.695722:115.984379	wx43z4ku:3:39.696867:115.984375	wx43z4kb:3:39.696215:115.984362	wx43z4kv:2:39.697105:115.984356	wx43z4sf:2:39.697895:115.984351	wx43z4hz:2:39.696022:115.984287	wx43z4x2:2:39.697646:115.987736	wx43z4hb:2:39.694866:115.984316	wx43z4st:2:39.698498:115.984153	wx43z4hy:13:39.695875:115.984344	wx43z4hg:2:39.695392:115.984259,39.695047,115.986768,wx43z4n3:3:39.695029:115.986518
wx43z5se,wx43z57q:3:39.702733:115.982323	wx43z5qg:3:39.7022:115.987286	wx43z5su:7:39.703733:115.984528	wx43z5ku:4:39.702359:115.984318	wx43z5sy:3:39.704085:115.984464	wx43z5kt:6:39.702539:115.984133	wx43z5sz:6:39.70426:115.984512	wx43z5kz:7:39.702903:115.984432	wx43z5fs:3:39.70512:115.981316	wx43z5sg:5:39.703633:115.984488	wx43z5km:4:39.702571:115.983646	wx43z5kv:5:39.702547:115.984386	wx43z5sf:7:39.703396:115.984507	wx43z5rf:3:39.702021:115.98846	wx43z5hb:3:39.700383:115.984344	wx43z5mh:7:39.702406:115.984699	wx43z5sb:4:39.703105:115.984523	wx43z5kf:17:39.702045:115.984415	wx43z57y:3:39.7027:115.983131	wx43z5xg:3:39.703597:115.988416	wx43z5ub:3:39.704382:115.984541	wx43z5kn:4:39.702654:115.9834	wx43z5kg:3:39.70221:115.984441	wx43z5ms:3:39.70237:115.985381	wx43z5kj:10:39.702575:115.983492	wx43z5kb:3:39.701659:115.984434	wx43z5ug:4:39.704946:115.984521	wx43z5ky:9:39.702714:115.984395	wx43z5hu:5:39.700999:115.984306	wx43z5sc:4:39.703263:115.984454	wx43z5kc:8:39.701892:115.984442	wx43z5tp:6:39.704263:115.984647	wx43z5ev:3:39.703966:115.983172,39.703549,115.98416,wx43z5sg:5:39.703633:115.984488
wx43z5ub,wx43z57q:3:39.702733:115.982323	wx43z5qg:3:39.7022:115.987286	wx43z5su:7:39.703733:115.984528	wx43z5ku:4:39.702359:115.984318	wx43z5sy:3:39.704085:115.984464	wx43z5kt:6:39.702539:115.984133	wx43z5sz:6:39.70426:115.984512	wx43z5kz:7:39.702903:115.984432	wx43z5fs:3:39.70512:115.981316	wx43z5sg:5:39.703633:115.984488	wx43z5km:4:39.702571:115.983646	wx43z5kv:5:39.702547:115.984386	wx43z5sf:7:39.703396:115.984507	wx43z5rf:3:39.702021:115.98846	wx43z5hb:3:39.700383:115.984344	wx43z5mh:7:39.702406:115.984699	wx43z5sb:4:39.703105:115.984523	wx43z5kf:17:39.702045:115.984415	wx43z57y:3:39.7027:115.983131	wx43z5xg:3:39.703597:115.988416	wx43z5ub:3:39.704382:115.984541	wx43z5kn:4:39.702654:115.9834	wx43z5kg:3:39.70221:115.984441	wx43z5ms:3:39.70237:115.985381	wx43z5kj:10:39.702575:115.983492	wx43z5kb:3:39.701659:115.984434	wx43z5ug:4:39.704946:115.984521	wx43z5ky:9:39.702714:115.984395	wx43z5hu:5:39.700999:115.984306	wx43z5sc:4:39.703263:115.984454	wx43z5kc:8:39.701892:115.984442	wx43z5tp:6:39.704263:115.984647	wx43z5ev:3:39.703966:115.983172,39.704529,115.984552,wx43z5sz:6:39.70426:115.984512
wx43zhzn,wx43zhzu:5:39.710644:115.988506	wx43zhk8:2:39.707198:115.984122	wx43zhk9:3:39.707424:115.984124	wx43zhj0:3:39.705793:115.984649	wx43zhy8:2:39.709908:115.986695	wx43zhs5:2:39.709052:115.983421	wx43zhu2:2:39.709923:115.983718	wx43zhq4:2:39.707477:115.986277	wx43zhhb:2:39.705835:115.984544	wx43zhsq:2:39.709546:115.983698	wx43zhhg:4:39.706301:115.98447	wx43zhsp:2:39.709769:115.983448	wx43zhjj:6:39.706701:115.984835	wx43zhkd:3:39.707507:115.984007	wx43zhzr:5:39.711206:115.987917	wx43zhxd:2:39.708965:115.988125	wx43zhh8:3:39.705781:115.984045	wx43zhzw:2:39.710963:115.988253	wx43zhzf:2:39.71035:115.988698,39.711024,115.987621,wx43zjp2:14:39.71131:115.987853
wx43znhj,wx43znn3:2:39.716935:115.986582	wx43zn75:3:39.718655:115.98193	wx43zn6g:2:39.718636:115.981651	wx43znp6:4:39.717133:115.987751	wx43znnx:3:39.718035:115.986838	wx43znp3:22:39.716971:115.987745	wx43zn2d:2:39.718543:115.978588	wx43znp4:4:39.717098:115.987427	wx43znp1:37:39.716986:115.987625	wx43znn9:3:39.716912:115.986836	wx43znnc:2:39.717025:115.987187	wx43znty:2:39.720547:115.985691	wx43znhj:2:39.717685:115.983539	wx43zn7f:2:39.71854:115.983097	wx43znxs:3:39.720278:115.988231	wx43zn19:4:39.716978:115.979991	wx43zn6f:3:39.718562:115.981681,39.717751,115.983468,wx43znjj:1:39.717637:115.984834
